product_slug,main_image_id,gallery_image_ids
SIG_THE_MINT_N_LAVENDER_WOMEN_HOOD_main,8715,"8718,8676,254,8626,8615,8691,8672,8717,8652,8711,8675,8642,8651,8683,8671,8614,8620,8627,8721,8713,8624,8646,8685,8690,8667,8638,8725,8663,8703,8630,8720,8661,8609,8647,252,8660,8628,8677,8650,8682,8649,8714,8621,8639,8607,8673,8654,8666,8656,8665,8648,8716,8723,8681,8707,8613,8678,8635,8726,8693,8705,8696,8629,8662"
BR_007_20230616_170635_1_main,8631,"8702,256"
LH_20221110_202133_main,8633,"8686,8619,8679,8670,8610,8636,8700,8618,8616,8655,8657"
LH_018_20231221_160237_main,8632,"8653,8692,8643,8688"
LH_FANNIE_PACK_FRONT_2_main,8625,"8712,8708,8699,8622,8641"
LH_PROD_8E0B9D57_main,8709,8634
LH_PROD_A461E90A_main,253,8722
SIG_005_20231221_222005_main,8706,8644
SIG_PROD_5EFB374D_main,8698,8680
SIG_SIGNATURE_SHORTS1_main,8668,"8659,8617"
